Battery,Brand,CPU,Color,Display,Graphics,MFG_year,Name,OS,Price,Ram,Size,Storage,URL,Weight,Wireless
"
                                                    51wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i5 8365U (4 nhân 8 luồng, xung nhịp cơ bản 1.6GHz có thể đạt tới 4.1GHz với turbo boost, 6MB Smart Cache,TDP 15W)                                            ","
                                                            Đen                                                    ","
                                                    14"" Full HD (1920 x 1080) IPS, màn nhám chống lóa, không cảm ứng, độ sáng 400nits                                            ","
                                                    Đồ họa Intel® UHD                                            ","
                                                            2019                                                    ",Lenovo Thinkpad X1 Carbon Gen 7 i5-8365U 16GB SSD 256GB Intel FHD IPS,"
                                                            Windows 10                                                    ",11.400.000đ,"
                                                    16GB LPDDR3 2133, không hỗ trợ nâng cấp                                            ","
                                                            32.3 x 21.7 x 1.49cm                                                    ","
                                                    256GB SSD, có 1 khe lắp                                            ",https://trungtran.vn/lenovo-thinkpad-x1-carbon-gen7-i5-nhieu-cau-hinh/,"
                                                            1.08kg                                                    ",
"
                                                    51wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i5 8365U (4 nhân 8 luồng, xung nhịp cơ bản 1.6GHz có thể đạt tới 4.1GHz với turbo boost, 6MB Smart Cache,TDP 15W)                                            ","
                                                            Đen                                                    ","
                                                    14"" Full HD (1920 x 1080) IPS, màn nhám chống lóa, không cảm ứng, độ sáng 400nits                                            ","
                                                    Đồ họa Intel® UHD                                            ","
                                                            2019                                                    ",Lenovo Thinkpad X1 Carbon Gen 7 i5-8365U 16GB SSD 256GB Intel FHD IPS LTE (có card WWAN để sử dụng SIM),"
                                                            Windows 10                                                    ",11.900.000đ,"
                                                    16GB LPDDR3 2133, không hỗ trợ nâng cấp                                            ","
                                                            32.3 x 21.7 x 1.49cm                                                    ","
                                                    256GB SSD, có 1 khe lắp                                            ",https://trungtran.vn/lenovo-thinkpad-x1-carbon-gen7-i5-nhieu-cau-hinh/,"
                                                            1.08kg                                                    ",
"
                                                    96wh                                            ","
                                                            HP                                                    ","
                                                    Intel Core i7 6820HQ (4 nhân 8 luồng, xung nhịp cơ bản 2.7GHz có thể đạt tối đa 3.6GHz với Turbo Boost, 8 MB Intel® Smart Cache)                                            ","
                                                            Xám                                                    ","
                                                    17.3 in diagonal FHD UWVA IPS anti-glare LED backlit (1920 x 1080)                                            ","
                                                    Intel HD Graphics 530+NVIDIA® Quadro® M1000M (2 GB GDDR5)                                            ","
                                                            2016                                                    ",HP ZBook 17 G3 i7-6820HQ RAM 16GB SSD 512GB FHD IPS M1000M,"
                                                            Windows 10                                                    ","
                            13.800.000đ                        ","
                                                    16 GB DDR4-2133                                            ","
                                                            42.0 x 28.0 x 3.0 cm                                                    ","
                                                    512GB SSD                                            ",https://trungtran.vn/hp-zbook-17-g3-i7-6820hq-full-hd-ips-nvidia-quadro-m1000m-p1869/,"
                                                            3kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6cells                                            ","
                                                            Lenovo                                                    ","
                                                    Intel® Core™ i7-7820HQ (4 nhân 8 luồng, xung nhịp cơ bản 2.9GHz, có thể đạt tối đa với Turbo Boost tới 3.9GHz, 8 MB Intel® Smart Cache)                                             ","
                                                            Đen                                                    ","
                                                    14.1inch Màn 2K IPS (2560 x 1440) Anti-Glare LED Backlit, không cảm ứng                                            ","
                                                    Intel® HD Graphics 630 + NVIDIA GeForce 940MX 2GB                                            ","
                                                            2017                                                    ",Lenovo Thinkpad T470P i7-7820HQ 16GB SSD 512GB NVIDIA Geforce 940MX 2K IPS,"
                                                            Windows 10                                                    ","
                            14.990.000đ                        ","
                                                    16GB RAM DDR4 2400Mhz                                            ","
                                                            34cm x 23,5cm x 2,45cm                                                    ","
                                                    512GB SSD                                             ",https://trungtran.vn/lenovo-thinkpad-t470p-i7-vga-nhieu-cau-hinh/,"
                                                            1.85 - 1.95kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    4-cell, 60wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ","
                                                            2018                                                    ","Dell Latitude 5300 i5-8365U 8GB SSD 240GB/256GB 13.3"" FHD IPS Touch","
                                                            Windows 10                                                    ",8.500.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            30.5 x 20.7 x 1.6-1.9cm                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5300-i5-intel/,"
                                                            1.24kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    4-cell, 60wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ","
                                                            2018                                                    ","Dell Latitude 5300 i5-8365U 16GB SSD 512GB 13.3"" FHD IPS Touch","
                                                            Windows 10                                                    ",9.500.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            30.5 x 20.7 x 1.6-1.9cm                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5300-i5-intel/,"
                                                            1.24kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    4-cell, 57wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i7-1185G7 (4 nhân 8 luồng, có thể đạt xung nhịp tối đa turbo boost tới 4.8GHz, 12MB Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14"" FHD+ (1920x1200) IPS, LED backlit, có cảm ứng, 400 nits, 100% sRGB, low blue light, low power                                            ","
                                                     Đồ họa Intel® Iris® Xe                                            ","
                                                            2021                                                    ",Thinkpad X1 Carbon Gen 9 i7-1185G7 16GB SSD 256GB Intel FHD+ IPS Touch,"
                                                            Windows 10                                                    ","
                            25.800.000đ                        ","
                                                    16GB LPDDR4x-4266, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            31.5 x 22.2 x 1.5cm                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD, có 1 khe lắp duy nhất                                            ",https://trungtran.vn/thinkpad-x1-carbon-gen-9-i7-nhieu-cau-hinh/,"
                                                            1.13kg                                                    ","
                                                            Intel® Wi-Fi 6 + Bluetooth 5.1                                                    "
"
                                                    6cells                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 7600U (2 nhân 4 luồng, xung nhịp cơ bản 2.8GHz, có thể đạt tối đa 3.9GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FullHD (1920x1080) IPS, anti-glare,có cảm ứng, LED backlight, 250 nits, 16:9                                             ","
                                                    Intel HD Graphics 620                                            ","
                                                            2017                                                    ",Lenovo Thinkpad T470 i7 7600U RAM 8GB SSD 256GB FHD IPS Touch,"
                                                            Windows 10                                                    ",7.600.000đ,"
                                                    8GB DDR4 bus 2133Mhz                                            ","
                                                            33.6 x 23.2 x 1.9cm                                                    ","
                                                    256GB SSD                                            ",https://trungtran.vn/lenovo-thinkpad-t470-i7-intel-hd-graphics-620-sao-chep/,"
                                                            1.5 - 1.8kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6cells                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 7600U (2 nhân 4 luồng, xung nhịp cơ bản 2.8GHz, có thể đạt tối đa 3.9GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FullHD (1920x1080) IPS, anti-glare,có cảm ứng, LED backlight, 250 nits, 16:9                                             ","
                                                    Intel HD Graphics 620                                            ","
                                                            2017                                                    ",Lenovo Thinkpad T470 i7 7600U RAM 16GB SSD 256GB FHD IPS Touch,"
                                                            Windows 10                                                    ",8.100.000đ,"
                                                    8GB DDR4 bus 2133Mhz                                            ","
                                                            33.6 x 23.2 x 1.9cm                                                    ","
                                                    256GB SSD                                            ",https://trungtran.vn/lenovo-thinkpad-t470-i7-intel-hd-graphics-620-sao-chep/,"
                                                            1.5 - 1.8kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    6cells                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i7 7600U (2 nhân 4 luồng, xung nhịp cơ bản 2.8GHz, có thể đạt tối đa 3.9GHz với Turbo Boost, 4 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FullHD (1920x1080) IPS, anti-glare,có cảm ứng, LED backlight, 250 nits, 16:9                                             ","
                                                    Intel HD Graphics 620                                            ","
                                                            2017                                                    ",Lenovo Thinkpad T470 i7 7600U RAM 16GB SSD 512GB FHD IPS Touch,"
                                                            Windows 10                                                    ",8.600.000đ,"
                                                    8GB DDR4 bus 2133Mhz                                            ","
                                                            33.6 x 23.2 x 1.9cm                                                    ","
                                                    256GB SSD                                            ",https://trungtran.vn/lenovo-thinkpad-t470-i7-intel-hd-graphics-620-sao-chep/,"
                                                            1.5 - 1.8kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
