Battery,Brand,CPU,Color,Display,Graphics,MFG_year,Name,OS,Price,Ram,Size,Storage,URL,Weight,Wireless
"
                                                    51wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i5 8365U (4 nhân 8 luồng, xung nhịp cơ bản 1.6GHz có thể đạt tới 4.1GHz với turbo boost, 6MB Smart Cache,TDP 15W)                                            ","
                                                            Đen                                                    ","
                                                    14"" Full HD (1920 x 1080) IPS, màn nhám chống lóa, không cảm ứng, độ sáng 400nits                                            ","
                                                    Đồ họa Intel® UHD                                            ","
                                                            2019                                                    ",Lenovo Thinkpad X1 Carbon Gen 7 i5-8365U 16GB SSD 256GB Intel FHD IPS,"
                                                            Windows 10                                                    ",11.400.000đ,"
                                                    16GB LPDDR3 2133, không hỗ trợ nâng cấp                                            ","
                                                            32.3 x 21.7 x 1.49cm                                                    ","
                                                    256GB SSD, có 1 khe lắp                                            ",https://trungtran.vn/lenovo-thinkpad-x1-carbon-gen7-i5-nhieu-cau-hinh/,"
                                                            1.08kg                                                    ",
"
                                                    51wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel core i5 8365U (4 nhân 8 luồng, xung nhịp cơ bản 1.6GHz có thể đạt tới 4.1GHz với turbo boost, 6MB Smart Cache,TDP 15W)                                            ","
                                                            Đen                                                    ","
                                                    14"" Full HD (1920 x 1080) IPS, màn nhám chống lóa, không cảm ứng, độ sáng 400nits                                            ","
                                                    Đồ họa Intel® UHD                                            ","
                                                            2019                                                    ",Lenovo Thinkpad X1 Carbon Gen 7 i5-8365U 16GB SSD 256GB Intel FHD IPS LTE (có card WWAN để sử dụng SIM),"
                                                            Windows 10                                                    ",11.900.000đ,"
                                                    16GB LPDDR3 2133, không hỗ trợ nâng cấp                                            ","
                                                            32.3 x 21.7 x 1.49cm                                                    ","
                                                    256GB SSD, có 1 khe lắp                                            ",https://trungtran.vn/lenovo-thinkpad-x1-carbon-gen7-i5-nhieu-cau-hinh/,"
                                                            1.08kg                                                    ",
"
                                                    4-cell, 60wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i7-8665U (4 nhân, 8 luồng, xung cơ bản 1.9GHz, có thể đạt 4.8GHz với Turbo Boost, 8 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD IPS (1920 x 1080), màn gương chống chói, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 255nits, độ phủ màu 72% NTSC, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ","
                                                            2019                                                    ",Dell Latitude 5300 2-in-1 i7-8665U 16GB SSD 256GB Intel FHD IPS Touch,"
                                                            Windows 10                                                    ","
                            11.500.000đ                        ","
                                                    16GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400, max upgrade tới 32GB                                            ","
                                                            30.5 x 20.7 x 1.6-1.9cm                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5300-2-in-1-i7-intel/,"
                                                            1.43kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    4-cell, 60wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ","
                                                            2018                                                    ","Dell Latitude 5300 i5-8365U 8GB SSD 240GB/256GB 13.3"" FHD IPS Touch","
                                                            Windows 10                                                    ",8.500.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            30.5 x 20.7 x 1.6-1.9cm                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5300-i5-intel/,"
                                                            1.24kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    4-cell, 60wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ","
                                                            2018                                                    ","Dell Latitude 5300 i5-8365U 16GB SSD 512GB 13.3"" FHD IPS Touch","
                                                            Windows 10                                                    ",9.500.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            30.5 x 20.7 x 1.6-1.9cm                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5300-i5-intel/,"
                                                            1.24kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    3-cell, 42wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, không cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 220nits, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ","
                                                            2018                                                    ","Dell Latitude 5400 i5-8365U 8GB SSD 240GB/256GB 14"" FHD IPS","
                                                            Windows 10                                                    ",8.200.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            32.3 x 21.6 x 1.96-2.08cm                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5400-i5-nhieu-cau-hinh/,"
                                                            1.48kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    3-cell, 42wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, không cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 220nits, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ","
                                                            2018                                                    ",Dell Latitude 5400 i5 8365U 16GB SSD 500GB/512GB FHD IPS,"
                                                            Windows 10                                                    ",9.200.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            32.3 x 21.6 x 1.96-2.08cm                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5400-i5-nhieu-cau-hinh/,"
                                                            1.48kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    4-cell, 57wh                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5-1135G7 (4 nhân 8 luồng, có thể đạt xung nhịp tối đa turbo boost tới 4.2GHz, 8MB Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD+ (1920×1200) IPS, LED backlight, màn nhám,chống lóa, độ sáng 400 nits, tỷ lệ màn hình 16:10, độ tương phản 1000:1, độ phủ màu 100% sRGB, low blue light, low power                                             ","
                                                     Đồ họa Intel® Iris® Xe                                            ","
                                                            2021                                                    ",Thinkpad X1 Carbon Gen 9 i5-1135G7 (nhiều cấu hình),"
                                                            Windows 10                                                    ","
                            23.300.000đ                        ","
                                                    8GB | 16GB LPDDR4x-4266 không thay thế hay nâng cấp được, hàn chết trên main                                            ","
                                                            31.5 x 22.2 x 1.5cm                                                    ","
                                                    256 GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/thinkpad-x1-carbon-gen-9-i5-intel/,"
                                                            1.13kg                                                    ","
                                                            Intel® Wi-Fi 6 AX201 2×2 AX vPro® + Bluetooth® 5.1                                                    "
"
                                                    6cells                                            ","
                                                            Lenovo                                                    ","
                                                    Intel® Core™ i7-7820HQ (4 nhân 8 luồng, xung nhịp cơ bản 2.9GHz, có thể đạt tối đa với Turbo Boost tới 3.9GHz, 8 MB Intel® Smart Cache)                                             ","
                                                            Đen                                                    ","
                                                    14.1inch Màn 2K IPS (2560 x 1440) Anti-Glare LED Backlit, không cảm ứng                                            ","
                                                    Intel® HD Graphics 630 + NVIDIA GeForce 940MX 2GB                                            ","
                                                            2017                                                    ",Lenovo Thinkpad T470P i7-7820HQ 16GB SSD 512GB NVIDIA Geforce 940MX 2K IPS,"
                                                            Windows 10                                                    ","
                            14.990.000đ                        ","
                                                    16GB RAM DDR4 2400Mhz                                            ","
                                                            34cm x 23,5cm x 2,45cm                                                    ","
                                                    512GB SSD                                             ",https://trungtran.vn/lenovo-thinkpad-t470p-i7-vga-nhieu-cau-hinh/,"
                                                            1.85 - 1.95kg                                                    ","
                                                            Wi-Fi + Bluetooth                                                    "
"
                                                    2 cục 3 cell; có option 1 cục 6 cell (tùy từng lô hàng)                                            ","
                                                            Lenovo                                                    ","
                                                    Intel Core i5 6300U (2 nhân, 4 luồng, xung nhịp cơ bản 2.4GHz tối đa đạt 3.0Ghz, 3 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14.1"" FULL HD (1920x1080), IPS, màn nhám, chống lóa, LED-backlit                                            ","
                                                    Intel Graphics HD 520                                            ","
                                                            2016                                                    ",ThinkPad T460 i5 6300U 8GB SSD 128GB intel FHD IPS,"
                                                            Windows 10 Pro 64bit                                                    ",5.300.000đ,"
                                                    8GB DDR3L                                            ","
                                                            33.9 x 23.3 x 2.1 cm                                                    ","
                                                     128GB SSD                                            ",https://trungtran.vn/thinkpad-t460-i5-14in-hd-intel-hd-graphics-520-p1695/,"
                                                            1.5-1.7kg (tùy cầu hính)                                                    ",
