CPU,Display,Graphics,ImgURL,Name,Price,Ram,Status,Storage,URL
"
i5-1135G7
","14"" Full HD","
Intel Iris Xe Graphics
",https://laptop88.vn/media/product/7646_ac___laptop_c___dell_latitude_5420___intel_core_i5_1145g7__3_.jpg,Laptop Cũ Dell Latitude 5420 - Intel Core i5-1135G7 | 14 inch Full HD,12.490.000 đ,8GB DDR4,Used,SSD 256GB NVMe,https://laptop88.vn/laptop-cu-dell-latitude-5420-intel-core-i5-1145g7-14-inch-full-hd.html
i5-6200U,12.5 Inch HD,Intel HD 520,https://laptop88.vn/media/product/pro_poster_4931.jpg,Laptop Cũ Lenovo ThinkPad X260 - Intel Core i5,Liên Hệ,8GB DDR4,,SSD 240GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-x260-intel-core-i5.html
i9-12900H,"16"" WQXGA 165Hz",Nvidia RTX 3060,https://laptop88.vn/media/product/pro_poster_7590.jpg,[New 100%] Laptop Lenovo Legion 5 Pro Y9000P 16IAH7H 82RF00R3CD - Intel Core i9-12900H | RTX 3060 | 16 Inch  WQXGA,34.590.000 đ,16GB DDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-lenovo-legion-5-pro-16iah7h-82rf0043vn-intel-core-i7-12700h-rtx-3060-16-inch-wqxga.html
i7 - 6700HQ,15.6'' Full HD,Nvidia GTX 960M,https://laptop88.vn/media/product/pro_poster_2452.jpg,Laptop Gaming cũ Dell Inspiron 7559 - Intel Core i7 ,Liên Hệ,8GB DDR3L,,SSD 240GB,https://laptop88.vn/dell-inspiron-7559-core-i7-6700hq-ram-8-hdd-1tb-nvidia-geforce-gtx-960m-full-hd-156-inch.html
i5 - 8250U,"14"" Full HD",Intel UHD 620,https://laptop88.vn/media/product/pro_poster_7848.jpg,Laptop Cũ HP Probook 440 G5 - Intel Core i5 8250U | 14 inch Full HD,7.690.000 đ,8GB DDR4,Used,SSD 256GB,https://laptop88.vn/laptop-cu-hp-probook-440-g5-intel-core-i5-8250u-14-inch-full-hd.html
Core i5 3210M,"15.6"" Full HD",Intel HD 4000,https://laptop88.vn/media/product/pro_poster_2305.jpg,Laptop Cũ Dell Latitude E5530 - Intel Core i5,Liên Hệ,4GB DDR3,,SSD 120GB,https://laptop88.vn/laptop-cu-dell-latitude-e5530-core-i5/p2305.html
"
i5 - 12500H
","15.6"" 165Hz 100%sRGB",Nvidia RTX 3060 4GB,https://laptop88.vn/media/product/8119_acer_nitro_5_tiger.png,[New 100%] Laptop Acer Nitro 5 Tiger AN515-58-50D2 | Intel Core i5 - 12500H | RTX 3060 4GB | 15.6 Inch Full HD 165Hz 100%sRGB,34.990.000 đ,8GB DDR4,New 100%,SSD 512GB NVMe,https://laptop88.vn/new-100-laptop-acer-nitro-5-an515-58-50d2-intel-core-i5-12500h-rtx-3060-4gb-15.6-inch-full-hd-165hz.html
i7 - 12650H,"15.6"" Full HD 144Hz",Nvidia RTX 3060,https://laptop88.vn/media/product/pro_poster_7596.jpg,[New 100%] Laptop ASUS TUF Dash F15 FX517ZM-HN480W - Intel Core i7 - 12650H | RTX 3060 | 15.6 Inch Full HD,26.990.000 đ,8GB DDR5,New 100%,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-dash-f15-fx517zm-hn480w-intel-core-i7-12650h-rtx-3060-15.6-inch-full-hd.html
i5 - 6300U,14'' Full HD,Intel HD Graphics,https://laptop88.vn/media/product/pro_poster_5630.jpg,Laptop Cũ Lenovo Thinkpad T470 - Intel Core i5,Liên Hệ,8GB DDR4,,SSD 240GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t470-intel-core-i5.html
i5 - 1135G7,"13.3"" Full HD",Iris Xe Graphics,https://laptop88.vnhttps://laptop88.vn/media/product/6807_anb_dell_xps_13_9305.jpg,[New Outlet] Laptop Dell XPS 13 9305 - Intel Core i5 ,19.990.000 đ,8GB DDR4,,SSD 256GB,https://laptop88.vn/moi-laptop-dell-xps-13-9305-intel-core.html
