Name,Price,URL,ImgURL,CPU,Ram,Storage,Graphics,Display,Status
Laptop Cũ Dell Latitude 5420,12490000,https://laptop88.vn/laptop-cu-dell-latitude-5420-intel-core-i5-1145g7-14-inch-full-hd.html,https://laptop88.vn/media/product/7646_ac___laptop_c___dell_latitude_5420___intel_core_i5_1145g7__3_.jpg,"i5-1135G7
",8GB DDR4,SSD 256GB NVMe,"Intel Iris Xe Graphics
",14 Full HD,Used
Laptop Lenovo Legion 5 Pro Y9000P 16IAH7H 82RF00R3CD,34590000,https://laptop88.vn/moi-100-full-box-laptop-lenovo-legion-5-pro-16iah7h-82rf0043vn-intel-core-i7-12700h-rtx-3060-16-inch-wqxga.html,https://laptop88.vn/media/product/pro_poster_7590.jpg,i9-12900H,16GB DDR5,SSD 512GB NVMe,Nvidia RTX 3060,16 WQXGA 165Hz,New 100%
Laptop Cũ HP Probook 440 G5,7690000,https://laptop88.vn/laptop-cu-hp-probook-440-g5-intel-core-i5-8250u-14-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_7848.jpg,i5 - 8250U,8GB DDR4,SSD 256GB,Intel UHD 620,14 Full HD,Used
Laptop Acer Nitro 5 Tiger AN515,34990000,https://laptop88.vn/new-100-laptop-acer-nitro-5-an515-58-50d2-intel-core-i5-12500h-rtx-3060-4gb-15.6-inch-full-hd-165hz.html,https://laptop88.vn/media/product/8119_acer_nitro_5_tiger.png,"i5 - 12500H
",8GB DDR4,SSD 512GB NVMe,Nvidia RTX 3060 4GB,15.6 165Hz 100%sRGB,New 100%
Laptop ASUS TUF Dash F15 FX517ZM,26990000,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-dash-f15-fx517zm-hn480w-intel-core-i7-12650h-rtx-3060-15.6-inch-full-hd.html,https://laptop88.vn/media/product/pro_poster_7596.jpg,i7 - 12650H,8GB DDR5,SSD 512GB NVMe,Nvidia RTX 3060,15.6 Full HD 144Hz,New 100%
Laptop Dell XPS 13 9305,19990000,https://laptop88.vn/moi-laptop-dell-xps-13-9305-intel-core.html,https://laptop88.vnhttps://laptop88.vn/media/product/6807_anb_dell_xps_13_9305.jpg,i5 - 1135G7,8GB DDR4,SSD 256GB,Iris Xe Graphics,13.3 Full HD,New 100%
Laptop Lenovo Thinkpad X1 Nano Gen 1 20UN00FSUS,21990000,https://laptop88.vn/moi-99-refurbished-laptop-lenovo-thinkpad-x1-nano-intel-core-i5-1130g7-13-inch-2k.html,https://laptop88.vn/media/product/pro_poster_7409.jpg,Intel Core i7-1160G7,16GB LPDDR4,SSD 512GB NVMe,Intel Iris Xe Graphics,13 2K 100% sRGB,New 100%
Laptop cũ Dell Latitude E6540,6990000,https://laptop88.vn/dell-latitude-e6540.html,https://laptop88.vn/media/product/pro_poster_2456.jpg,i7 - 4800MQ,8GB DDR3L,SSD 256GB,AMD HD 8790M,15.6 inch Full HD,Used
Laptop Asus TUF Gaming F15 2022 FX507ZE,26990000,https://laptop88.vn/moi-100-full-box-laptop-asus-tuf-gaming-f15-2022-fx507ze-hn093w-intel-core-i7-12700h-rtx-3050ti-15.6-inch-full-hd-144hz.html,https://laptop88.vn/media/product/pro_poster_7404.jpg,i7 - 12700H,8GB DDR5,SSD 512GB,Nvidia RTX 3050Ti,15.6 Full HD 144Hz,New 100%
Laptop Dell G16 7620,30990000,https://laptop88.vn/new-outlet-laptop-dell-g16-7620-intel-core-i7-12700h-rtx-3060-16-inch-qhd.html,https://laptop88.vn/media/product/pro_poster_8058.jpg,"i7 - 12700H
",16GB DDR5,SSD 1TB NVMe,"Nvidia RTX 3060
",16 165Hz 2560x1600,New Outlet
Laptop Cũ Asus Zenbook Q408UG,11990000,https://laptop88.vn/laptop-cu-asus-zenbook-q408ug-amd-ryzen-5-5500u-14-inch-full-hd.html,https://laptop88.vn/media/product/7668_7512_22__1_.jpg,R5 - 5500U,8GB DDR4,SSD 256GB,Radeon Graphics,14 Full HD,Used
Laptop Gaming cũ Dell Inspiron 7559,9790000,https://laptop88.vn/laptop-gaming-dell-7559-cu-core-i5-6300hq-ram-8gb-hdd-500gb-nvidia-geforce-gtx-960m-full-hd-15.6-inch.html,https://laptop88.vn/media/product/pro_poster_2447.jpg,i5 - 6300HQ,8GB DDR3,SSD 240GB,Nvidia GTX 960M,15.6 inch Full HD,Used
