Name,Price,URL,ImgURL,CPU,Ram,Ram_slot,Storage,Graphics,Display,Battery,Wireless,Weight,Size,Color,OS
Laptop Dell Latitude 3420 L3420I5SSDF,19990000,https://www.phucanh.vn//laptop-dell-latitude-3420-l3420i5ssdf.html,https://phucanhcdn.com/media/product/250_47266_laptop_dell_latitude_3420_l3420i5ssdf__h4.jpg,Core i5 Tiger Lake 1135G7 2.4 GHz,8Gb DDR4 3200,2,256GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,Khoảng 14 inch,Battery,Intel Wi-Fi 6 AX201 2x2 802.11ax 160MHz + Bluetooth 5.0,"1,52 Kg","Khoảng 14 inch,326 x 226 x 17.6 mm",Black,NoOS
Laptop Lenovo ThinkBook 14 G3 ACL 21A200R7VN,16990000,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkbook-14-g3-acl-21a200r7vn-ryzen-7-5700u.html,https://phucanhcdn.com/media/product/250_50672_1.jpg,AMD Ryzen 7 5700U 1.8 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2242,AMD Radeon Graphics,14.0inch Full HD,Battery,11ac 2x2 + BT5.0,"1,4 Kg","14.0inch Full HD,323 x 218 x 17.9 mm",Grey,Windows 11 Home
Laptop Lenovo V series V14 G3 IAP 82TS0067VN,10990000,https://www.phucanh.vn//laptop-lenovo-v-series-v14-g3-itl-82ts0067vn-core-i3.html,https://phucanhcdn.com/media/product/250_50153_laptop_lenovo_v_series_v14_g3_itl_black_intel_a6.jpg,Core i3 Alder Lake 1215U 1.2 GHz,4Gb (Onboard) DDR4 3200,1,256GB SSD M.2 NVMe PCIe 2242,Intel UHD Graphics,14.0inch Full HD,Battery,11ac 2x2 + BT5.0,"1,7 Kg","14.0inch Full HD,324 x 215 x 19.5 mm",Black,NoOS
Máy tính xách tay Dell Inspiron 5620 i5P165W11SLU,25690000,https://www.phucanh.vn//laptop-dell-inspiron-5620-i5p165w11slu-core-i5.html,https://phucanhcdn.com/media/product/250_49837_laptop_dell_inspiron_5620_intel_gen_12_silver_a4.gif,Core i5 Alder Lake 1240P 3.3 GHz,16Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,16.0inch FHD,Battery,Intel Wi-Fi 6E (6GHz) AX211 2x2 Bluetooth 5.2,"1,91 Kg","16.0inch FHD,355.9 x 243.4 x 16.8 mm",Silver,Windows 11 Home + Office Student
Laptop Lenovo ThinkPad X13 GEN 3 21BQS39300,39990000,https://www.phucanh.vn//may-tinhh-xach-tay-lenovo-thinkpad-x13-gen-3-21bqs39300.html,https://phucanhcdn.com/media/product/250_49271_may_tinhh_xach_tay_lenovo_thinkpad_x13_gen_3_6.jpg,Core i7 Alder Lake 1255U 3.5 GHz,16Gb (Onboard) DDR4 3200,Không hỗ trợ,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,13.3inch WQXGA,Battery,"Intel AX211 Wi-Fi 6E, 2x2 + BT5.1","1,2 Kg","13.3inch WQXGA,305 x 217 x 18.1 mm",Black,Windows 11 Pro
Laptop Lenovo ThinkPad E15 GEN 4 21ED0069VN,18990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-e15-gen-4-21ed0069vn.html,https://phucanhcdn.com/media/product/250_50804_laptop_lenovo_thinkpad_e15_gen_4_21ed0069vn_7.jpg,AMD Ryzen 5 5625U 2.3 GHz,8Gb (Onboard) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2242,AMD Radeon Graphics,15.6inch Full HD,Battery,"Wi-Fi 6E 11ax, 2x2 + BT5.1","1,64 Kg","15.6inch Full HD,324 x 220 x 17.9 mm",Black,Windows 11 Home
Laptop Acer Gaming Nitro Tiger AN515 58 52SP NH.QFHSV.001,27990000,https://www.phucanh.vn//laptop-acer-nitro-tiger-an515-58-52sp-nh-qfhsv-001.html,https://phucanhcdn.com/media/product/250_46451_nitro_tiger_an515_58_ha6.jpg,Core i5 Alder Lake 12500H 2.5 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,15.6inch Full HD,Battery,KillerTM Wi-Fi 6 AX 1650i/ 10/100/1000 Mbps / Bluetooth 5.1,"2,5 Kg","15.6inch Full HD,363 x 255 x 22.9 mm",Black,Windows 11 Home
Laptop Acer Aspire Gaming A715 43G R8GA NH.QHDSV.002,20990000,https://www.phucanh.vn//may-tinh-xach-tay-acer-aspire-a715-43g-r8ga-nh.qhdsv.002.html,https://phucanhcdn.com/media/product/250_48911_acer_aspire_a715_43g_a6.jpg,AMD Ryzen 5 5625U 2.3 GHz,8Gb DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Nvidia GeForce RTX 3050 4Gb GDDR6,15.6inch Full HD,Battery,Intel Wireless Wi-Fi 6 AX200/ 802.11a/b/g/n/acR2+ax wireless,"2,1 Kg","15.6inch Full HD,364 x 249 x 19.9 mm",Black,Windows 11 Home
Laptop Lenovo ThinkPad E14 GEN 4 21E4S39A00,20990000,https://www.phucanh.vn//laptop-lenovo-thinkpad-e14-gen-4-21e4s39a00-core-i5-1235u-16gb-512gb-ssd-intel-iris-xe-graphics-140inch-full-hd-noos-black-aluminium-1-year.html,https://phucanhcdn.com/media/product/250_51352_lenovo_thinkpad_e14_gen_4__intel_black_a6.jpg,Core i5 Alder Lake 1235U 1.3 GHz,16Gb (8Gb onboard + 1 khe rời) DDR4 3200,1,512GB SSD M.2 NVMe PCIe 2242,Intel Iris Xe Graphics,14.0inch Full HD,Battery,Intel AX201 11ax. 2x2 + BT5.1,"1,64 Kg","14.0inch Full HD,324 x 220 x 17.9 mm",Black,NoOS
Laptop Dell Inspiron 5620 N6I7009W1,28990000,https://www.phucanh.vn//laptop-dell-inspiron-5620-n6i7009w1-core-i7-1255u.html,https://phucanhcdn.com/media/product/250_50364_48888_laptop_dell_inspiron_5620_intel_gen_12_silver_a4.gif,Core i7 Alder Lake 1255U 3.5 GHz,16Gb (2x8Gb) DDR4 3200,2,512GB SSD M.2 NVMe PCIe,Intel Iris Xe Graphics,Khoảng 16 inch,Battery,WiFi 802.11a/b/g - Bluetooth 5.0,"1,97 Kg","Khoảng 16 inch,355.9 x 243.4 x 16.8 mm",Silver,Windows 11 Home + Office Student
