Product,Price,Image,Link,CPU,Ram,Storage,Graphics,Screen,Status,Weight,Battery,Brand
Dell Latitude E7450,5900000,https://techcare.vn/wp-content/uploads/2019/10/dell-latitude-e7450-300x300.png,https://techcare.vn/san-pham/dell-latitude-e7450-corei5/,Core i5-5300U,4GB,SSD 120GB,Intel HD Graphics 5500,14 inch HD,99%,1.59 kg,4 cell,DELL
Dell Latitude E7470,4700000,https://techcare.vn/wp-content/uploads/2020/02/dell-latitude-e7470-300x300.png,https://techcare.vn/san-pham/laptop-dell-latitude-e7470-core-i5-6300u-card-intel-hd-graphics-520/,Core i5-6300U,8GB,SSD 256GB,Intel HD Graphics 520,14 inch HD,99%,1.42 kg,,DELL
Lenovo ThinkPad T440s,4900000,https://techcare.vn/wp-content/uploads/2019/04/lenovo-thinkpad-t440s-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-t440s/,Core i5-4300U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%,,6 Cells 48Wh,LENOVO
Dell latitude E7440,4300000,https://techcare.vn/wp-content/uploads/2020/05/dell-latitude-e7440-300x300.jpg,https://techcare.vn/san-pham/dell-latitude-e7440-i3/,Core i3-4010U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%,,,DELL
Dell Latitude E7240,4500000,https://techcare.vn/wp-content/uploads/2019/11/dell-latitude-e7240-2-300x300.png,https://techcare.vn/san-pham/laptop-cu-dell-latitude-e7240-i5-intel-hd-graphics-family/,Core i5-4300U,4GB,SSD 128GB,Intel HD Graphics 4400,12.5 inch HD,99%,,,DELL
Dell Latitude E5440,4500000,https://techcare.vn/wp-content/uploads/2019/10/dell-latitude-e5440-300x300.png,https://techcare.vn/san-pham/dell-latitude-e5440-core-i5-4310u-intel-hp-graphics/,Core i5-4200U,4GB,SSD 120GB,Intel HD Graphics 4400,14 inch HD,99%,,,DELL
Dell Latitude E7250,4700000,https://techcare.vn/wp-content/uploads/2019/11/dell-latitude-e7250-300x300.png,https://techcare.vn/san-pham/dell-latitude-e7250/,Core i5-5300U,4GB,SSD 120GB,Intel HD Graphics 5500,12.5 inch HD,99%,,,DELL
Dell Latitude E5470,4300000,https://techcare.vn/wp-content/uploads/2017/08/dell-latitude-e5470-2-300x300.png,https://techcare.vn/san-pham/laptop-cu-dell-latitude-e5470-core-i5-6300u-card-intel-hd-graphics-520/,Core i3-6100U,8GB,SSD 128GB,Intel HD Graphics 520,14 inch Full HD,99%,2.2 kg,,DELL
Dell Latitude E5450,4300000,https://techcare.vn/wp-content/uploads/2019/10/dell-latitude-e5450-300x300.png,https://techcare.vn/san-pham/laptop-dell-latitude-e5450-cu/,Core i3-5010U,4GB,SSD 120GB,Intel HD Graphics 5500,14 inch HD,99%,1.81kg,51Whr,DELL
Lenovo ThinkPad P52,16800000,https://techcare.vn/wp-content/uploads/2019/05/lenovo-thinkpad-p52-4-300x300.jpg,https://techcare.vn/san-pham/lenovo-thinkpad-p52/,Core i7-8750H,16GB,SSD 256GB,Nvidia Quadro P1000 4GB,15.6 inch Full HD,99%,"2,45Kg",6 Cell 90WHr,LENOVO
HP Zbook 15U G3,9900000,https://techcare.vn/wp-content/uploads/2022/08/hp-zbook-15u-g3-10.jpg,https://techcare.vn/san-pham/hp-zbook-15u-g3/,Core i7-6500U,8GB,SSD 256GB,AMD FirePro W4190M,15.6 inch Full HD,99%,,90 Wh,HP
Dell Precision 7530,15900000,https://techcare.vn/wp-content/uploads/2020/05/dell-precision-7350-11-300x300.jpg,https://techcare.vn/san-pham/dell-precision-7530/,Core i7-8750H,16GB,SSD 512GB,Nvidia Quadro P1000 4GB,15.6 inch Full HD,99%,,6 Cell 97WHr,DELL
Lenovo ThinkPad T14 Gen 2,13900000,https://techcare.vn/wp-content/uploads/2023/03/lenovo-thinkpad-t14-gen-2-4.png,https://techcare.vn/san-pham/laptop-lenovo-thinkpad-t14-gen-2/,AMD Ryzen 5 Pro 5650U,16GB,SSD 256GB,AMD Radeon Graphics,14 inch Full HD,99%,1.47Kg,3 Cells 50 WHr,LENOVO
