Product,Price,Image,Link,CPU,RAM,Storage,Graphics,Screen,Status,Color,Weight,Battery,Brand
Dell Inspiron 16 5625,13490000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/7/25/42111_laptop_dell_inspiron_16_5625___3_.jpeg,https://thinkpro.vn/laptop/dell-inspiron-16-5625-5232,"AMD AMD 5000, 6C/12T",8GB DDR4 3200MHz,512GB (M.2 NVMe),AMD Radeon Graphics,"16 inch, 1920 x 1200px, 60Hz","Used, Nhập khẩu",Gray,1.97kg,Battery,DELL
LG Gram 17 2022 (Nhập khẩu),22790000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/26/lg-gram-17-2022-nhap-khau-thinkpro-DRU.jpg,https://thinkpro.vn/laptop/lg-gram-17-2022-nhap-khau-6318,"Intel Core i7 1260P, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"17 inch, 2560 x 1600px, 60Hz","Used, Nhập khẩu",Shadow Grey,1.35kg,Battery,LG
Dell XPS 13 Plus 9320,27990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/5/8/dell-xps-13-plus-9320-thinkpro-UvD.jpg,https://thinkpro.vn/laptop/dell-xps-13-plus-9320-6092,"Intel Core i5 1240P, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4 inch, 1920 x 1200px, 60Hz","Outlet, Nhập khẩu",Platium Silver,1.26kg,Battery,DELL
Dell Inspiron 14 Plus (7420),21990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/10/2/dell-inspiron-14-7420-thinkpro-1.jpg,https://thinkpro.vn/laptop/dell-inspiron-14-plus-7420-6317,"Intel Core i7 12700H, 14C/20T",16GB DDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 2240 x 1400px, 60Hz","Used, Nhập khẩu",Dark Teal,1.68kg,Battery,DELL
Dell Latitude 7320 Detachable (Kèm bàn phím),15990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/6/DELL-Latitude-7320-Detachable-H2.jpeg,https://thinkpro.vn/laptop/dell-latitude-7320-detachable-6870,"Intel Core i5 1140G7, 4C/8T",8GB LPDDR4X 4267MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"13 inch, 1920 x 1280px, 60Hz","Used, Nhập khẩu",Đen,1.18kg,Battery,DELL
HP ProBook 440 G8,12390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/hp-probook-440-g8-thinkpro-01.jpg,https://thinkpro.vn/laptop/hp-probook-440-g8-6331,"Intel Core i5 1135G7, 4C/8T",8GB DDR4 3200MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1080px, 60Hz","Used, Nhập khẩu",Sliver,1.38kg,Battery,HP
LG Gram 16 2 in 1 2022,25390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/3/22/lg-gram-16-2-in-1-2022-thinkpro-1.png,https://thinkpro.vn/laptop/lg-gram-16-2-in-1-2022-6258,"Intel Core i7 1260P, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16 inch, 2560 x 1600px, 60Hz","Used, Nhập khẩu",Black,1.48kg,Battery,LG
Lenovo ThinkPad X1 Carbon Gen 11 (Sample Edition),57990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/12/23/lenovo-thinkpad-x1-carbon-gen-11-thinkpro-01.png,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-11-6801,"Intel Core i7 1360P, 12C/16T",16GB LPDDR5 6400MHz,512GB (,Intel Iris Xe Graphics,"14 inch, 2240 x 1400px, 60Hz","Mới, Sealed, Nhập khẩu",Black,1.12kg,Battery,LENOVO
Lenovo ThinkPad X1 Carbon Gen 10,25390000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2022/9/30/Lenovo-ThinkPad-X1-Carbon-Gen-10-thinkpro-01.jpeg,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-10-6833,"Intel Core i5 1235U, 10C/12T",8GB LPDDR5 5200MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 1920 x 1200px, 60Hz","Outlet, Nhập khẩu",Black,1.12kg,Battery,LENOVO
Lenovo ThinkBook 14 G5+,24990000,https://images.thinkgroup.vn/unsafe/460x460/https://media-api-beta.thinkpro.vn/media/core/products/2023/4/22/lenovo-thinkbook-14-g5-thinkpro-olk.png,https://thinkpro.vn/laptop/lenovo-thinkbook-14-g5-6465,"Intel Core i5 13500H, 12C/16T",16GB LPDDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14 inch, 2880 x 1800px, 90Hz","Mới, Sealed, Nhập khẩu",Storm Grey,1.4kg,Battery,LENOVO
