Name,Price,URL,ImgURL,CPU,Ram,Storage,Graphics,Display,Status,Battery,Wireless,Weight,Size,Color,OS,Brand,MFG_year
Legion 5 Pro 2021 Ryzen 7 5800H RAM 16GB SSD 512GB RTX 3060 16 2K IPS 165Hz,28500000,https://trungtran.vn/lenovo-legion-5-2021-ryzen-7-rtx/,https://trungtran.vn//upload_images/images/products/lenovo-gaming/resized/screenshot-2021-09-12-193454-copy.webp,"AMD Ryzen 7 5800H (8 nhân 16 luồng, xung nhịp cơ bản 3.2GHz có thể đạt tối đa tới 4.4GHz với Turbo Boost, L3 Cache 16 MB)",16GB DDR4 3200MHz,512GB PCIe NVMe M.2 SSD,AMD Radeon Graphics + NVIDIA GeForce RTX  3050 4GB GDDR6,"15.6 inch FHD (1920x1080) IPS, độ sáng 300nits, chống lóa, tần số quét 60Hz, 100% sRGB, Dolby Vision, Free-Sync, G-Sync, DC dimmer",New 100%,Battery,"Wi-Fi 6, Bluetooth 5.1",2.4,36.3 x 25.9x 2.3-2.6,Phantom Blue (xanh đen),Windows 10,Lenovo,2021
Dell Vostro 5620 i5 1240P RAM 8GB SSD 256GB FHD+,16300000,https://trungtran.vn/dell-vostro-5620-i5-intel/,https://trungtran.vn/images/products/2023/resized/vostro-16-5620-nt-gallery-3.png,"Intel Core i5-1240P (tổng cộng có 12 nhân, 16 luồng, xung nhịp cơ bản 1.7Ghz và tối đa tới 4.4GHz, 12MB Cache)",8GB DDR4 3200MHz,256GB PCIe NVMe M.2 SSD,Intel UHD Graphic,"16 inch FHD+ (1920 x 1200), WVA, không cảm ứng, độ sáng 250 nits, tỷ lệ khung hình 16:10, độ phủ màu khoảng 65% sRGB, tần số quét 60Hz, ComfortView Plus, Dell Cinema Color",New 100%,Battery,"Wi-Fi 6, Bluetooth 5.2",1.91,35.7 x 25.2 x 1.6-1.8,Titan Gray,Windows 11,Dell,2022
Acer Nitro 5 2022 i5 12500H 16GB SSD 512GB RTX 3050Ti FHD IPS 144Hz,19500000,https://trungtran.vn/acer-nitro-5-2022-i5-ref-nhieu-cau-hinh/,https://trungtran.vn/images/products/2023/resized/png_full_size.png,"Intel Core i5 12500H (12 nhân 16 luồng, xung nhịp tối đa có thể đạt tới 4.5GHz, 18 MB Intel Smart Cache)", 16GB DDR4-3200 MHz,512GB PCIe NVMe M.2 SSD," Intel Iris Xe, NVIDIA GeForce RTX 3050Ti 4GB GDDR6"," 15.6 inch, FHD (1920 x 1080) IPS, ComfyView, màn nhám chống lóa, không cảm ứng, tần số quét 144Hz, độ sáng màn hình 250 nits, độ phủ màu 45% NTSC, tỷ lệ khung hình 16",Outlet/Refurbished,Battery," Killer Wi-Fi 6, Bluetooth 5.2",2.5, 36.0 x 27.1 x 2.59-2.69 (cạnh trước vát mỏng hơn cạnh bản lề),Obsidian Black (đen), Windows 11 Home,Acer,2022
Dell Latitude 5300 i5-8365U 8GB SSD 240GB/256GB 13.3 FHD IPS Touch,8500000,https://trungtran.vn/dell-latitude-5300-i5-intel/,https://trungtran.vn/images/products/2023/resized/latitude_5300_front_view_thumbnail.png,"Intel Core i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel Smart Cache)",8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400,256GB PCIe NVMe M.2 SSD,Intel UHD Graphics 620,"14 inch FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz",Đã qua sử dụng,Battery,Intel Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0,1.24,30.5 x 20.7 x 1.6-1.9,Đen,Windows 10,Dell,2018
Dell Latitude 5300 i5-8365U 16GB SSD 512GB 13.3 FHD IPS Touch,9500000,https://trungtran.vn/dell-latitude-5300-i5-intel/,https://trungtran.vn/images/products/2023/resized/latitude_5300_front_view_thumbnail.png,"Intel Core i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel Smart Cache)",8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400,256GB PCIe NVMe M.2 SSD,Intel UHD Graphics 620,"14 inch FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz",Đã qua sử dụng,Battery,Intel Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0,1.24,30.5 x 20.7 x 1.6-1.9,Đen,Windows 10,Dell,2018
Dell Latitude 5400 i5-8365U 8GB SSD 240GB/256GB 14 FHD IPS,8200000,https://trungtran.vn/dell-latitude-5400-i5-nhieu-cau-hinh/,https://trungtran.vn/images/products/2023/resized/dell-latitude-5400-frontview-trungtran_vn_.png,"Intel Core i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel Smart Cache)",8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400,256GB PCIe NVMe M.2 SSD,Intel UHD Graphics 620,"14 inch FHD WVA (1920 x 1080), màn nhám chống lóa, không cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 220nits, tần số quét 60Hz",Đã qua sử dụng,Battery,Intel Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0,1.48,32.3 x 21.6 x 1.96-2.08,Đen,Windows 10,Dell,2018
Dell Latitude 5400 i5 8365U 16GB SSD 500GB/512GB FHD IPS,9200000,https://trungtran.vn/dell-latitude-5400-i5-nhieu-cau-hinh/,https://trungtran.vn/images/products/2023/resized/dell-latitude-5400-frontview-trungtran_vn_.png,"Intel Core i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel Smart Cache)",8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400,256GB PCIe NVMe M.2 SSD,Intel UHD Graphics 620,"14 inch FHD WVA (1920 x 1080), màn nhám chống lóa, không cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 220nits, tần số quét 60Hz",Đã qua sử dụng,Battery,Intel Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0,1.48,32.3 x 21.6 x 1.96-2.08,Đen,Windows 10,Dell,2018
Legion 5 Pro 2022 i9 12900H 16GB SSD 512GB RTX 3060 16inch 2.5K 165hz,31900000,https://trungtran.vn/legion-5-pro-16iah7h-ryzen-7-rtx/,https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2021_r9000p_trungtranvn_6-copy-copy.png,"AMD Ryzen 7 6800H (8 nhân 16 luồng, xung nhịp cơ bản 3.2GHz có thể đạt tối đa 4.7GHz với turbo boost, 4MB L2 Cache, 16MB L3 Cache)",16GB DDR5 4800MHz,512GB PCIe NVMe M.2 SSD gen 4,AMD Radeon 680M + NVIDIA GeForce RTX 3060 6GB GDDR6,"16.0 inch WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 165Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.",New 100%,Battery,"Wi-Fi 6E, Bluetooth 5.2",2.49,35.9 x 26.4 x 1.9 ,Storm Grey (Xám - nắp) ; Black (Đen - dưới đáy),Windows 11,Lenovo,2022
Lenovo Legion 5 Pro 2023 i9 13900HX RAM 16G SSD 1TB RTX 4050 2.5k 240Hz,35900000,https://trungtran.vn/lenovo-legion-5-pro-2023-ryzen-7-rtx/,https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2023_y9000p_12-copy.jpg,"AMD Ryzen 7 7745HX (8 nhân 16 luồng, xung nhịp cơ bản 3.6GHz có thể đạt tới 5.1GHz với turbo boost, 8MB L2 Cache, 32MB L3 Cache, default TDP 55W)",16GB DDR5 5600MHz,1TB PCIe NVMe M.2 SSD gen 4,AMD Radeon 610M + NVIDIA GeForce RTX 4060 8GB,"16.0 inch WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 240Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.",New 100%,Battery,"Wi-Fi 6E, Bluetooth 5.2",2.55,,Đen,Windows 11,Lenovo,2023
Lenovo Legion 5 Pro 2023 i9 13900HX RAM 16G SSD 1TB RTX 4060 2.5k 240Hz,39500000,https://trungtran.vn/lenovo-legion-5-pro-2023-ryzen-7-rtx/,https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2023_y9000p_12-copy.jpg,"AMD Ryzen 7 7745HX (8 nhân 16 luồng, xung nhịp cơ bản 3.6GHz có thể đạt tới 5.1GHz với turbo boost, 8MB L2 Cache, 32MB L3 Cache, default TDP 55W)",16GB DDR5 5600MHz,1TB PCIe NVMe M.2 SSD gen 4,AMD Radeon 610M + NVIDIA GeForce RTX 4060 8GB,"16.0 inch WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 240Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.",New 100%,Battery,"Wi-Fi 6E, Bluetooth 5.2",2.55,,Đen,Windows 11,Lenovo,2023
