Name,Price,URL,Version,Color,CPU,Ram,Storage,Graphics,Display,Battery
Dell XPS 13 9310,18.990.000,https://thinkpro.vn/laptop/dell-xps-13-9310-6283,"i7 1165G7, FHD+
8GB, 512GB",Platium Silver,"Intel Intel 11th, 4C/8T",8GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 1920 x 1200px, 60Hz",51WHr Li-Polymer
Dell XPS 13 9310,21.990.000,https://thinkpro.vn/laptop/dell-xps-13-9310-6231,"i7 1165G7, FHD+
8GB, 512GB",Platium Silver,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 1920 x 1200px, 60Hz",Dung lượng pin:
Lenovo Legion 5 Pro 2022,28.990.000,https://thinkpro.vn/laptop/lenovo-legion-5-pro-2022-6354,"i7 12700H, RTX3050Ti, QHD+ 165Hz
16GB, 512GB",Storm Grey,"Intel Intel 12th, 14C/20T",16GB DDR5 4800MHz,1024GB (M.2 NVMe),Intel Iris Xe Graphics,"16inches, 2560 x 1600px, 165Hz",80WHr Li-Polymer
Dell XPS 13 9310,26.990.000,https://thinkpro.vn/laptop/dell-xps-13-9310-6188,"i7 1165G7, FHD+
8GB, 512GB",Platium Silver,"Intel Intel 11th, 4C/8T",32GB LPDDR4X 4266MHz,1024GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 3456 x 2160px, 60Hz",Dung lượng pin:
Dell XPS 13 9310 (INP4757211SA),21.390.000,https://thinkpro.vn/laptop/dell-xps-13-9310-6284,"i7 1165G7, FHD+
8GB, 512GB",Platium Silver,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,256GB (M.2 NVMe),Intel Iris Xe Graphics,"13.4inches, 1920 x 1200px, 60Hz",51WHr Li-Polymer
Dell Inspiron 14 Plus (7420),22.990.000,https://thinkpro.vn/laptop/dell-inspiron-14-plus-7420-laptop-6317,"i7 12700H, 2.2K
 16GB, 512GB",Dark Teal,"Intel Intel 12th, 14C/20T",16GB DDR5 4800MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"14inches, 2240 x 1400px, 60Hz",64WHr Li-Polymer
Lenovo ThinkPad X1 Nano,26.490.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-nano-6279,"i5 1130G7
16GB, 1TB",Black,"Intel Intel 11th, 4C/8T",16GB LPDDR4X 4266MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"13inches, 2160 x 1350px, 60Hz",48WHr Li-Polymer
Lenovo ThinkPad X1 Carbon Gen 7,15.490.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-7-6313,"i7 8565, FHD
16GB, 256GB",Black,"Intel Intel 8th, 4C/8T",16GB LPDDR3 2133MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
Lenovo ThinkPad X1 Carbon Gen 7,16.390.000,https://thinkpro.vn/laptop/lenovo-thinkpad-x1-carbon-gen-7-6251,"i7 8565, FHD
16GB, 256GB",Black,"Intel Intel 10th, 4C/8T",16GB LPDDR3 2133MHz,256GB (M.2 NVMe),Intel UHD Graphics,"14inches, 1920 x 1080px, 60Hz",Dung lượng pin:
LG Gram 16 2 in 1 2022,25.390.000,https://thinkpro.vn/laptop/lg-gram-16-2-in-1-2022-6258,"i7 1260P, QHD+
16GB, 512GB",Black,"Intel Intel 12th, 12C/16T",16GB LPDDR5 5200MHz,512GB (M.2 NVMe),Intel Iris Xe Graphics,"16inches, 2560 x 1600px, 60Hz",80WHr Li-on
