Battery,CPU,CPU_code,CPU_speed,Color,Display,Graphics,ImgURL,Name,Num_cores,Num_thread,OS,Ports,Price,Ram,Ram_slot,Ram_speed,Ram_type,Resolutions,Size,Storage,Storage_drive,Storage_type,URL,Weight,Wireless
: 3 cell,: Core i5 Tiger Lake,: 1135G7,: 2.4 GHz ,: Black,: Khoảng 14 inch,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_47266_laptop_dell_latitude_3420_l3420i5ssdf__h4.jpg,Laptop Dell Latitude 3420 L3420I5SSDF (Core i5 1135G7/ 8GB/ 256GB SSD/ Intel Iris Xe Graphics/ 14.0inch FHD/ NoOS/ Black/ 1 Year),: 4,: 8,: NoOS,": 1 USB 3.2 Gen 2 Type-C port with DisplayPort alt mode, 1 USB 3.2 Gen 1 port with PowerShare, 1 USB 2.0 port, 1 HDMI 1.4a port, 1 x DP1.2, RJ 45, Universal Audio Jack, 1x mSD 3.0 Card Reader.",19.990.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: HD (1366x768),": Khoảng 14 inch,: 326 x 226 x 17.6 mm",: 256GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-dell-latitude-3420-l3420i5ssdf.html,": 1,52 Kg",: Intel Wi-Fi 6 AX201 2x2 802.11ax 160MHz + Bluetooth 5.0
: 3 cell,: AMD Ryzen 7,: 5700U,: 1.8 GHz,: Grey,: 14.0inch Full HD,: AMD Radeon Graphics,https://phucanhcdn.com/media/product/250_50672_1.jpg,Laptop Lenovo ThinkBook 14 G3 ACL 21A200R7VN (Ryzen 7 5700U/ 8GB/ 512GB SSD/ AMD Radeon Graphics/ 14.0inch Full HD/ Windows 11 Home/ Grey/ Vỏ nhôm/ 2 Year),: 8,: 16,: Windows 11 Home,": 1x Ethernet (RJ-45)1x USB 3.2 Gen 11x HDMI® 1.4b1x Card reader1x Headphone / microphone combo jack (3.5mm)1x USB 3.2 Gen 1 (Always On)2x USB-C® 3.2 Gen 2 (support data transfer, Power Delivery 3.0 and DisplayPort™ 1.4)",16.990.000 ₫,: 8Gb (Onboard),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 323 x 218 x 17.9 mm",: 512GB,: M.2 NVMe PCIe 2242,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-lenovo-thinkbook-14-g3-acl-21a200r7vn-ryzen-7-5700u.html,": 1,4 Kg",: 11ac 2x2 + BT5.0
: 2 cell,: Core i3 Alder Lake,: 1215U,: 1.2 GHz,: Black,: 14.0inch Full HD,: Intel UHD Graphics,https://phucanhcdn.com/media/product/250_50153_laptop_lenovo_v_series_v14_g3_itl_black_intel_a6.jpg,Laptop Lenovo V series V14 G3 IAP 82TS0067VN (Core i3 1215U/ 4GB/ 256GB SSD/ Intel UHD Graphics/ 14.0inch Full HD/ NoOS/ Black/ Vỏ nhựa/ 1 Year),: 6 Cores,: 8 Threads,: NoOS,": 1x USB 2.01x USB 3.2 Gen 11x USB-C 3.2 Gen 1 (support data transfer, Power Delivery 3.0, and DisplayPort 1.2)1x HDMI, up to 2.5K/60Hz1x Ethernet (RJ-45)1x Headphone / microphone combo jack (3.5mm)1x Power connector",10.990.000 ₫,: 4Gb (Onboard),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 324 x 215 x 19.5 mm",: 256GB,: M.2 NVMe PCIe 2242,: SSD,https://www.phucanh.vn//laptop-lenovo-v-series-v14-g3-itl-82ts0067vn-core-i3.html,": 1,7 Kg",: 11ac 2x2 + BT5.0
: 4 cell,: Core i5 Alder Lake,: 1240P,: 3.3 GHz,: Silver,: 16.0inch FHD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_49837_laptop_dell_inspiron_5620_intel_gen_12_silver_a4.gif,Máy tính xách tay Dell Inspiron 5620 i5P165W11SLU (Core i5 1240P/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 16.0inch FHD/ Windows 11 Home + Office Student/ Silver/ Vỏ nhôm/ 1 Year),: 12,: 16,: Windows 11 Home + Office Student,": 2 USB 3.2 Gen 1 ports, 1 USB 3.2 Gen 2x2 Type-C® port with DisplayPort® and Power Delivery, 1 Headset jack, 1 HDMI 1.4 port, 1 power-adapter port, 1 RJ45 Ethernet port",25.690.000 ₫,: 16Gb,: 2,: 3200,: DDR4,: Full HD,": 16.0inch FHD,: 355.9 x 243.4 x 16.8 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-dell-inspiron-5620-i5p165w11slu-core-i5.html,": 1,91 Kg",: Intel® Wi-Fi 6E (6GHz) AX211 2x2 Bluetooth 5.2
: 6 cell,: Core i7 Alder Lake,: 1255U,: 3.5 GHz,: Black,: 13.3inch WQXGA,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_49271_may_tinhh_xach_tay_lenovo_thinkpad_x13_gen_3_6.jpg,Laptop Lenovo ThinkPad X13 GEN 3 21BQS39300 (Core i7 1255U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 13.3inch WQXGA/ Windows 11 Pro/ Black/ Carbon Fiber/ 3 Year),: 10 Cores,: 12 Threads,: Windows 11 Pro,": 2x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 2.0)1x USB 3.2 Gen 11x USB 3.2 Gen 1 (Always On)1x HDMI, up to 4K/60Hz1x Headphone / microphone combo jack (3.5mm)",39.990.000 ₫,: 16Gb (Onboard),: Không hỗ trợ,: 3200,: DDR4,: WUXGA (1920x1200) ,": 13.3inch WQXGA,: 305 x 217 x 18.1 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//may-tinhh-xach-tay-lenovo-thinkpad-x13-gen-3-21bqs39300.html,": 1,2 Kg",": Intel AX211 Wi-Fi 6E, 2x2 + BT5.1"
: 3 cell,: AMD Ryzen 5,: 5625U,: 2.3 GHz,: Black,: 15.6inch Full HD,: AMD Radeon Graphics,https://phucanhcdn.com/media/product/250_50804_laptop_lenovo_thinkpad_e15_gen_4_21ed0069vn_7.jpg,Laptop Lenovo ThinkPad E15 GEN 4 21ED0069VN (Ryzen 5 5625U/ 8GB/ 512GB SSD/ AMD Radeon Graphics/ 15.6inch Full HD/ Windows 11 Home/ Black/ Aluminium/ 2 Year),: 6,: 12,: Windows 11 Home,": 1x USB 2.01x USB 3.2 Gen 1 (Always On)1x Thunderbolt 4 / USB 4 40Gbps (support data transfer, Power Delivery 3.0, and DisplayPort 1.4)1x HDMI, up to 4K/60Hz1x Ethernet (RJ-45)1x Headphone / microphone combo jack (3.5mm)",18.990.000 ₫,: 8Gb (Onboard),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 324 x 220 x 17.9 mm",: 512GB,: M.2 NVMe PCIe 2242,: SSD,https://www.phucanh.vn//laptop-lenovo-thinkpad-e15-gen-4-21ed0069vn.html,": 1,64 Kg",": Wi-Fi 6E 11ax, 2x2 + BT5.1"
: 4 cell,: Core i5 Alder Lake,: 12500H,: 2.5 GHz,: Black,: 15.6inch Full HD,: Nvidia GeForce RTX 3050 4Gb GDDR6,https://phucanhcdn.com/media/product/250_46451_nitro_tiger_an515_58_ha6.jpg,Laptop Acer Gaming Nitro Tiger AN515 58 52SP NH.QFHSV.001 (Core i5 12500H/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050 4Gb GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Black/ 1 Year),: 12,: 16,: Windows 11 Home,: 1 x USB 3.2 Gen 2 port featuring power-off USB charging/ 2 x USB 3.2 Gen 1 ports/ 1 x Ethernet (RJ-45) port/ 1 x HDMI2.1 port with HDCP support/ 1 x HDMI2.0 port with HDCP support/ 3.5 mm head,27.990.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 363 x 255 x 22.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-acer-nitro-tiger-an515-58-52sp-nh-qfhsv-001.html,": 2,5 Kg",: KillerTM Wi-Fi 6 AX 1650i/ 10/100/1000 Mbps / Bluetooth 5.1
: 4 cell,: AMD Ryzen 5,: 5625U,: 2.3 GHz,: Black,: 15.6inch Full HD,: Nvidia GeForce RTX 3050 4Gb GDDR6,https://phucanhcdn.com/media/product/250_48911_acer_aspire_a715_43g_a6.jpg,Laptop Acer Aspire Gaming A715 43G R8GA NH.QHDSV.002 (Ryzen 5 5625U/ 8GB/ 512GB SSD/ Nvidia GeForce RTX 3050 4Gb GDDR6/ 15.6inch Full HD/ Windows 11 Home/ Black/ 1 Year),: 6,: 12,: Windows 11 Home,": 2 x USB 3.2 Gen 1 ports with one featuring power-off USB charging1 x USB Type-CTM port: USB 3.2 Gen 1 (up to 5 Gbps)1 x USB 2.0 port1 x HDMI®port with HDCP support1 x 3.5 mm headphone/speaker jack, supporting headsets with built-inMicrophone1 x Ethernet (RJ-45) port1 x DC-in jack for AC adapter",20.990.000 ₫,: 8Gb,: 2,: 3200,: DDR4,: Full HD (1920x1080) ,": 15.6inch Full HD,: 364 x 249 x 19.9 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//may-tinh-xach-tay-acer-aspire-a715-43g-r8ga-nh.qhdsv.002.html,": 2,1 Kg",: Intel Wireless Wi-Fi 6 AX200/ 802.11a/b/g/n/acR2+ax wireless
: 3 cell,: Core i5 Alder Lake,: 1235U,: 1.3 GHz,: Black,: 14.0inch Full HD,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_51352_lenovo_thinkpad_e14_gen_4__intel_black_a6.jpg,Laptop Lenovo ThinkPad E14 GEN 4 21E4S39A00 (Core i5 1235U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 14.0inch Full HD/ NoOS/ Black/ Aluminium/ 1 Year),: 10 Cores,: 12 Threads,: NoOS,": 1x USB 2.0/ 1x USB 3.2 Gen 1 (Always On)/ 1x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0, and DisplayPort 1.4)/ 1x HDMI 1.4b/ 1x Ethernet (RJ-45)/ 1x Headphone / mic",20.990.000 ₫,: 16Gb (8Gb onboard + 1 khe rời),: 1,: 3200,: DDR4,: Full HD (1920x1080) ,": 14.0inch Full HD,: 324 x 220 x 17.9 mm",: 512GB,: M.2 NVMe PCIe 2242,: SSD,https://www.phucanh.vn//laptop-lenovo-thinkpad-e14-gen-4-21e4s39a00-core-i5-1235u-16gb-512gb-ssd-intel-iris-xe-graphics-140inch-full-hd-noos-black-aluminium-1-year.html,": 1,64 Kg",: Intel AX201 11ax. 2x2 + BT5.1
: 4 cell,: Core i7 Alder Lake,: 1255U,: 3.5 GHz,: Silver,: Khoảng 16 inch,: Intel Iris Xe Graphics,https://phucanhcdn.com/media/product/250_50364_48888_laptop_dell_inspiron_5620_intel_gen_12_silver_a4.gif,Laptop Dell Inspiron 5620 N6I7009W1 (Core i7 1255U/ 16GB/ 512GB SSD/ Intel Iris Xe Graphics/ 16.1inch FHD+/ Windows 11 Home + Office Student/ Silver/ Vỏ nhôm/ 1 Year),: 10 Cores,: 12 Threads,: Windows 11 Home + Office Student,: Two USB 3.2 Gen 1 ports/ One USB 3.2 Gen 2 Type-C port with DisplayPort and Power Delivery/ One Headset / One HDMI 1.4 port/ One SD-card slot/,28.990.000 ₫,: 16Gb (2x8Gb),: 2,: 3200,: DDR4,: WUXGA (1920x1200) ,": Khoảng 16 inch,: 355.9 x 243.4 x 16.8 mm",: 512GB,: M.2 NVMe PCIe,: SSD,https://www.phucanh.vn//laptop-dell-inspiron-5620-n6i7009w1-core-i7-1255u.html,": 1,97 Kg",: WiFi 802.11a/b/g - Bluetooth 5.0
