Product,Price,Image,Link,CPU,RAM,Storage,Graphics,Screen,Status,OS,Size,Connector,Brand
MacBook Pro 13 inch M2 2022 10-core GPU,29.890.000,,https://www.thegioididong.com/laptop/apple-macbook-pro-13-inch-m2-2022,"Apple M2, 100GB/s",8 GB,256 GB SSD,"Card tích hợp, 10 nhân GPU","13.3"", Retina (2560 x 1600)",New,Mac OS,Dài 304.1 mm - Rộng 212.4 mm - Dày 15.6 mm - Nặng 1.4 kg,"Jack tai nghe 3.5 mm, 2 x Thunderbolt 3",MACBOOK
Lenovo IdeaPad 1 15AMN7 R5 7520U (82VG0061VN),10.990.000,https://cdn.tgdd.vn/Products/Images/44/303562/TimerThumb/lenovo-ideapad-1-15amn7-r5-82vg0061vn-(6).jpg,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15amn7-r5-82vg0061vn,"Ryzen 5, 7520U, 2.8GHz","8 GB, LPDDR5 (Onboard), 5500 MHz","256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, AMD Radeon 610M","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 360.2 mm - Rộng 236 mm - Dày 17.9 mm - Nặng 1.58 kg,"HDMI, Jack tai nghe 3.5 mm, 1 x USB 2.0, 1 x USB 3.2, 1 x USB Type-C (chỉ hỗ trợ truyền dữ liệu)",LENOVO
Dell Vostro 3520 i3 1215U (V5I3614W1),13.990.0,https://cdn.tgdd.vn/Products/Images/44/305655/dell-vostro-3520-i3-v5i3614w1-thumb-600x600.jpg,https://www.thegioididong.com/laptop/dell-vostro-3520-i3-v5i3614w1,"i3, 1215U, 1.2GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 2666 MHz","256 GB SSD NVMe PCIe, Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 2 TB)","Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) , 120Hz",New,Windows 11 Home SL + Office Home & Student vĩnh viễn,Dài 358.5 mm - Rộng 235.56 mm - Dày 18.99 mm - Nặng 1.83 kg,"HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",DELL
Asus Vivobook 15 X1502ZA i5 1240P (EJ120W),18.490.0,https://cdn.tgdd.vn/Products/Images/44/281483/asus-vivobook-15-x1502za-i5-ej120w-600x600.jpg,https://www.thegioididong.com/laptop/asus-vivobook-15-x1502za-i5-ej120w,"i5, 1240P, 1.7GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác không giới hạn dung lượng)","Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 359.7 mm - Rộng 232.5 mm - Dày 19.9 mm - Nặng 1.7 kg,"USB Type-C, HDMI, Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",ASUS
Acer Aspire 5 A514 54 511G i5 1135G7 (NX.A28SV.009),14.190.00,https://cdn.tgdd.vn/Products/Images/44/271043/TimerThumb/acer-aspire-a514-54-511g-i5-nxa28sv009-(24).jpg,https://www.thegioididong.com/laptop/acer-aspire-a514-54-511g-i5-nxa28sv009,"i5, 1135G7, 2.4GHz","8 GB, DDR4 (Onboard 4 GB + 1 khe 4 GB), 3200 MHz","Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB), 1 TB SSD M.2 PCIe","Card tích hợp, Intel Iris Xe","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 328 mm - Rộng 223 mm - Dày 17.95 mm - Nặng 1.46 kg,"USB Type-C, HDMI, LAN (RJ45), Jack tai nghe 3.5 mm, 1 x USB 2.0, 2 x USB 3.2",ACER
HP 240 G8 i3 1115G4 (6L1A1PA),10.490.000,https://cdn.tgdd.vn/Products/Images/44/285962/hp-240-g8-i3-6l1a1pa-210423-031503-600x600.jpg,https://www.thegioididong.com/laptop/hp-240-g8-i3-6l1a1pa,"i3, 1115G4, 3GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, Intel UHD","14"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 324 mm - Rộng 225.9 mm - Dày 19.9 mm - Nặng 1.47 kg,"2 x USB 3.1, USB Type-C, HDMI, LAN (RJ45), Jack tai nghe 3.5 mm",HP
Acer Aspire 7 Gaming A715 42G R05G R5 5500U (NH.QAYSV.007),14.990.000,https://cdn.tgdd.vn/Products/Images/44/269533/TimerThumb/acer-aspire-7-gaming-a715-42g-r05g-r5-nhqaysv007-(52).jpg,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-42g-r05g-r5-nhqaysv007,"Ryzen 5, 5500U, 2.1GHz","8 GB, DDR4 2 khe (1 khe 8 GB + 1 khe rời), 3200 MHz","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB), Không hỗ trợ khe cắm HDD, Không hỗ trợ khe cắm SSD M2 mở rộng thêm","Card rời, GTX 1650 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 363.4 mm - Rộng 254.5 mm - Dày 22.9 mm - Nặng 2.1 kg,"USB Type-C, HDMI, LAN (RJ45), USB 2.0, Jack tai nghe 3.5 mm, 2 x USB 3.2",ACER
MacBook Air 13 inch M1 2020 7-core GPU,18.390.000,https://cdn.tgdd.vn/Products/Images/44/231244/macbook-air-m1-2020-gray-600x600.jpg,https://www.thegioididong.com/laptop/apple-macbook-air-2020-mgn63saa,Apple M1,8 GB,256 GB SSD,"Card tích hợp, 7 nhân GPU","13.3"", Retina (2560 x 1600)",New,Mac OS,Dài 304.1 mm - Rộng 212.4 mm - Dày 4.1 mm đến 16.1 mm - Nặng 1.29 kg,"Jack tai nghe 3.5 mm, 2 x Thunderbolt 3 (USB-C)",MACBOOK
MSI Gaming GF63 Thin 11SC i5 11400H (664VN),15.990.000,https://cdn.tgdd.vn/Products/Images/44/303500/TimerThumb/msi-gaming-gf63-thin-11sc-i5-664vn-(12).jpg,https://www.thegioididong.com/laptop/msi-gaming-gf63-thin-11sc-i5-664vn,"i5, 11400H, 2.7GHz","8 GB, DDR4 2 khe (1 khe 4 GB + 1 khe 4 GB), 3200 MHz","512 GB SSD NVMe PCIe, Hỗ trợ khe cắm SATA 2.5 inch mở rộng (nâng cấp SSD hoặc HDD đều được)","Card rời, GTX 1650 4GB","15.6"", Full HD (1920 x 1080) , 144Hz",New,Windows 11 Home SL,Dài 359 mm - Rộng 254 mm - Dày 21.7 mm - Nặng 1.86 kg,"USB Type-C, HDMI, LAN (RJ45), 3 x USB 3.2, Jack tai nghe 3.5 mm",MSI
Lenovo Ideapad 3 15IAU7 i3 1215U (82RK005LVN),10.690.000,https://cdn.tgdd.vn/Products/Images/44/287769/lenovo-ideapad-3-15iau7-i3-82rk005lvn-281122-051953-600x600.jpg,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk005lvn,"i3, 1215U, 1.2GHz","8 GB, DDR4 2 khe (1 khe 8 GB onboard + 1 khe trống), 3200 MHz","256 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)","Card tích hợp, Intel UHD","15.6"", Full HD (1920 x 1080) ",New,Windows 11 Home SL,Dài 359.2 mm - Rộng 236.5 mm - Dày 19.9 mm - Nặng 1.63 kg,"HDMI, Jack tai nghe 3.5 mm, 1 x USB 2.0, 1 x USB 3.2, USB Type-C (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2)",LENOVO
