Battery,Brand,CPU,Color,Display,Graphics,ImgURL,MFG_year,Name,OS,Price,Ram,Size,Status,Storage,URL,Weight,Wireless
"
                                                    4 Cell 60WHr                                            ","
                                                            Lenovo                                                    ","
                                                    AMD Ryzen 7 5800H (8 nhân 16 luồng, xung nhịp cơ bản 3.2GHz có thể đạt tối đa tới 4.4GHz với Turbo Boost, L3 Cache 16 MB)                                            ","
                                                            Phantom Blue (xanh đen)                                                    ","
                                                    15.6"" FHD (1920x1080) IPS, độ sáng 300nits, chống lóa, tần số quét 60Hz, 100% sRGB, Dolby Vision, Free-Sync, G-Sync, DC dimmer                                            ","
                                                    AMD Radeon™ Graphics + NVIDIA GeForce RTX  3050 4GB GDDR6                                            ",https://trungtran.vn//upload_images/images/products/lenovo-gaming/resized/screenshot-2021-09-12-193454-copy.webp,"
                                                            2021                                                    ","Legion 5 Pro 2021 Ryzen 7 5800H RAM 16GB SSD 512GB RTX 3060 16"" 2K IPS 165Hz","
                                                            Windows 10                                                     ",28.500.000đ,"
                                                    16GB DDR4 3200MHz                                            ","
                                                            36.3 x 25.9x 2.3-2.6 cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/lenovo-legion-5-2021-ryzen-7-rtx/,"
                                                            2.4kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.1                                                    "
"
                                                    4-cell, 54wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core i5-1240P (tổng cộng có 12 nhân, 16 luồng, xung nhịp cơ bản 1.7Ghz và tối đa tới 4.4GHz, 12MB Cache)                                            ","
                                                            Titan Gray                                                    ","
                                                    16"" FHD+ (1920 x 1200), WVA, không cảm ứng, độ sáng 250 nits, tỷ lệ khung hình 16:10, độ phủ màu khoảng 65% sRGB, tần số quét 60Hz, ComfortView Plus, Dell Cinema Color                                            ","
                                                    Intel® UHD Graphic                                            ",https://trungtran.vn/images/products/2023/resized/vostro-16-5620-nt-gallery-3.png,"
                                                            2022                                                    ",Dell Vostro 5620 i5 1240P RAM 8GB SSD 256GB FHD+ ,"
                                                            Windows 11                                                    ","
                            16.300.000đ                        ","
                                                    8GB DDR4 3200MHz                                            ","
                                                            35.7cm x 25.2cm x 1.6-1.8cm                                                    ","
                                                            New 100%                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-vostro-5620-i5-intel/,"
                                                            1.91kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                     4 cells/Li-ion 57.5Wh                                            ","
                                                            Acer                                                    ","
                                                    Intel Core i5 12500H (12 nhân 16 luồng, xung nhịp tối đa có thể đạt tới 4.5GHz, 18 MB Intel® Smart Cache)                                            ","
                                                             Obsidian Black (đen)                                                    ","
                                                     15.6″, FHD (1920 x 1080) IPS, ComfyView, màn nhám chống lóa, không cảm ứng, tần số quét 144Hz, độ sáng màn hình 250 nits, độ phủ màu 45% NTSC, tỷ lệ khung hình 16                                            ","
                                                     Đồ họa Intel® Iris® Xe, NVIDIA® GeForce® RTX 3050Ti 4GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/png_full_size.png,"
                                                             2022                                                    ",Acer Nitro 5 2022 i5 12500H 16GB SSD 512GB RTX 3050Ti FHD IPS 144Hz,"
                                                             Windows 11 Home                                                    ","
                            19.500.000đ                        ","
                                                     16 GB DDR4-3200 MHz                                             ","
                                                             36.0cm x 27.1cm x 2.59-2.69cm (cạnh trước vát mỏng hơn cạnh bản lề)                                                    ","
                                                             Outlet/Refurbished                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/acer-nitro-5-2022-i5-ref-nhieu-cau-hinh/,"
                                                             2.5kg                                                    ","
                                                             Killer Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    4-cell, 60wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/latitude_5300_front_view_thumbnail.png,"
                                                            2018                                                    ","Dell Latitude 5300 i5-8365U 8GB SSD 240GB/256GB 13.3"" FHD IPS Touch","
                                                            Windows 10                                                    ",8.500.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            30.5 x 20.7 x 1.6-1.9cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5300-i5-intel/,"
                                                            1.24kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    4-cell, 60wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, có cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 300nits, độ phủ màu 72% NTSC, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/latitude_5300_front_view_thumbnail.png,"
                                                            2018                                                    ","Dell Latitude 5300 i5-8365U 16GB SSD 512GB 13.3"" FHD IPS Touch","
                                                            Windows 10                                                    ",9.500.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            30.5 x 20.7 x 1.6-1.9cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5300-i5-intel/,"
                                                            1.24kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    3-cell, 42wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, không cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 220nits, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/dell-latitude-5400-frontview-trungtran_vn_.png,"
                                                            2018                                                    ","Dell Latitude 5400 i5-8365U 8GB SSD 240GB/256GB 14"" FHD IPS","
                                                            Windows 10                                                    ",8.200.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            32.3 x 21.6 x 1.96-2.08cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5400-i5-nhieu-cau-hinh/,"
                                                            1.48kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    3-cell, 42wh                                            ","
                                                            Dell                                                    ","
                                                    Intel® Core™ i5-8365U (4 nhân, 8 luồng, xung cơ bản 1.6GHz, có thể đạt 4.1GHz với Turbo Boost, 6 MB Intel® Smart Cache)                                            ","
                                                            Đen                                                    ","
                                                    14″ FHD WVA (1920 x 1080), màn nhám chống lóa, không cảm ứng, tỷ lệ khung hình 16:9, độ sáng màn 220nits, tần số quét 60Hz                                            ","
                                                    Intel UHD Graphics 620                                            ",https://trungtran.vn/images/products/2023/resized/dell-latitude-5400-frontview-trungtran_vn_.png,"
                                                            2018                                                    ",Dell Latitude 5400 i5 8365U 16GB SSD 500GB/512GB FHD IPS,"
                                                            Windows 10                                                    ",9.200.000đ,"
                                                    8GB DDR4 2666 (2X4GB) nhưng chỉ nhận bus 2400                                            ","
                                                            32.3 x 21.6 x 1.96-2.08cm                                                    ","
                                                            Đã qua sử dụng                                                    ","
                                                    256GB PCIe® NVMe™ M.2 SSD                                            ",https://trungtran.vn/dell-latitude-5400-i5-nhieu-cau-hinh/,"
                                                            1.48kg                                                    ","
                                                            Intel® Dual Band Wireless AC 9560 (802.11ac) 2×2 + Bluetooth 5.0                                                    "
"
                                                    6-cell, 80wh                                            ","
                                                            Lenovo                                                    ","
                                                    AMD Ryzen 7 6800H (8 nhân 16 luồng, xung nhịp cơ bản 3.2GHz có thể đạt tối đa 4.7GHz với turbo boost, 4MB L2 Cache, 16MB L3 Cache)                                            ","
                                                            Storm Grey (Xám - nắp) ; Black (Đen - dưới đáy)                                                    ","
                                                    16.0"" WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 165Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.                                            ","
                                                    AMD Radeon™ 680M + NVIDIA® GeForce® RTX 3060 6GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2021_r9000p_trungtranvn_6-copy-copy.png,"
                                                            2022                                                    ",Legion 5 Pro 2022 i9 12900H 16GB SSD 512GB RTX 3060 16inch 2.5K 165hz ,"
                                                            Windows 11                                                    ",31.900.000đ,"
                                                    16GB DDR5 4800MHz                                            ","
                                                            35.9 x 26.4 x 1.9 cm cm                                                    ","
                                                            New 100%                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/legion-5-pro-16iah7h-ryzen-7-rtx/,"
                                                            2.49kg                                                    ","
                                                            Wi-Fi® 6E, Bluetooth 5.2                                                    "
"
                                                    6-cell, 80wh                                            ","
                                                            Lenovo                                                    ","
                                                    AMD Ryzen 7 7745HX (8 nhân 16 luồng, xung nhịp cơ bản 3.6GHz có thể đạt tới 5.1GHz với turbo boost, 8MB L2 Cache, 32MB L3 Cache, default TDP 55W)                                            ",,"
                                                    16.0"" WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 240Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.                                            ","
                                                    AMD Radeon™ 610M + NVIDIA® GeForce® RTX 4060 8GB                                             ",https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2023_y9000p_12-copy.jpg,"
                                                            2023                                                    ",Lenovo Legion 5 Pro 2023 i9 13900HX RAM 16G SSD 1TB RTX 4050 2.5k 240Hz,"
                                                            Windows 11                                                    ",35.900.000đ,"
                                                    16GB DDR5 5600MHz                                            ",,"
                                                            New 100%                                                    ","
                                                    1TB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/lenovo-legion-5-pro-2023-ryzen-7-rtx/,"
                                                            2.55kg                                                    ","
                                                            Wi-Fi® 6E, Bluetooth 5.2                                                    "
"
                                                    6-cell, 80wh                                            ","
                                                            Lenovo                                                    ","
                                                    AMD Ryzen 7 7745HX (8 nhân 16 luồng, xung nhịp cơ bản 3.6GHz có thể đạt tới 5.1GHz với turbo boost, 8MB L2 Cache, 32MB L3 Cache, default TDP 55W)                                            ",,"
                                                    16.0"" WQXGA (2560x1600) IPS, độ sáng 500nits, màn nhám chống lóa, không cảm ứng, 240Hz, 100% sRGB, Dolby Vision, HDR 400, Free-Sync, G-Sync, DC dimmer.                                            ","
                                                    AMD Radeon™ 610M + NVIDIA® GeForce® RTX 4060 8GB                                             ",https://trungtran.vn/images/products/2023/resized/lenovo_legion_5_pro_2023_y9000p_12-copy.jpg,"
                                                            2023                                                    ",Lenovo Legion 5 Pro 2023 i9 13900HX RAM 16G SSD 1TB RTX 4060 2.5k 240Hz,"
                                                            Windows 11                                                    ",39.500.000đ,"
                                                    16GB DDR5 5600MHz                                            ",,"
                                                            New 100%                                                    ","
                                                    1TB PCIe® NVMe™ M.2 SSD gen 4                                            ",https://trungtran.vn/lenovo-legion-5-pro-2023-ryzen-7-rtx/,"
                                                            2.55kg                                                    ","
                                                            Wi-Fi® 6E, Bluetooth 5.2                                                    "
"
                                                    6-cell, 80.5Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i7-12700H (14 nhân 20 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz với Turbo Boost, 24 MB Intel® Smart Cache)                                            ","
                                                            Lunar Light (Trắng)                                                    ","
                                                    14"", FHD (1920 x 1080) WVA, không cảm ứng, 400 nits, độ phủ màu 100% sRGB/ DCI-P3 100%, 144Hz, low blue light                                            ","
                                                     Đồ họa Intel® Iris® Xe, NVIDIA® GeForce® RTX 3050Ti 4GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/notebook-dell-alienware-x14-r1-trungtran_(1).png,"
                                                             2022                                                    ",Alienware X14 R1 i7 12700H Ram 16GB SSD 512GB RTX 3050Ti 14inch FHD IPS 144Hz - Phím không LED,"
                                                            Windows 11                                                    ",29.999.000đ,"
                                                    16GB LPDDR5, 4800MHz MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            32.1 x 26.2 x 1.45 cm                                                    ","
                                                            Outlet/Refurbished                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD, có 1 khe lắp duy nhất                                            ",https://trungtran.vn/alienware-x14-r1-i7-rtx/,"
                                                            1.79 - 1.84kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    6-cell, 80.5Wh                                            ","
                                                            Dell                                                    ","
                                                    Intel Core i7-12700H (14 nhân 20 luồng, xung nhịp tối đa có thể đạt tới 4.7GHz với Turbo Boost, 24 MB Intel® Smart Cache)                                            ","
                                                            Lunar Light (Trắng)                                                    ","
                                                    14"", FHD (1920 x 1080) WVA, không cảm ứng, 400 nits, độ phủ màu 100% sRGB/ DCI-P3 100%, 144Hz, low blue light                                            ","
                                                     Đồ họa Intel® Iris® Xe, NVIDIA® GeForce® RTX 3050Ti 4GB GDDR6                                            ",https://trungtran.vn/images/products/2023/resized/notebook-dell-alienware-x14-r1-trungtran_(1).png,"
                                                             2022                                                    ",Alienware X14 R1 i7 12700H Ram 16GB SSD 512GB RTX 3050Ti 14inch FHD IPS 144Hz - Phím LED Zone,"
                                                            Windows 11                                                    ",31.499.000đ,"
                                                    16GB LPDDR5, 4800MHz MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            32.1 x 26.2 x 1.45 cm                                                    ","
                                                            Outlet/Refurbished                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD, có 1 khe lắp duy nhất                                            ",https://trungtran.vn/alienware-x14-r1-i7-rtx/,"
                                                            1.79 - 1.84kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
"
                                                    3-cell, 55wh                                            ","
                                                            Dell                                                    ","
                                                    Intel core i5 1240P (12 nhân, 16 luồng, xung nhịp cơ bản 1.7Ghz và tối đa tới 4.4GHz, 12MB Cache)                                            ","
                                                            Platinum (bạc)                                                    ","
                                                    13.4″ 3.5K OLED (3456 x 2160), WVA, viền siêu mảnh InfinityEdge, màn gương (anti-reflective), có cảm ứng, độ sáng 400-nits, 100% DCI-P3, 100% sRGB, tỷ lệ tương phản 1000000:1, mật độ điểm ảnh 304PPI, tần số quét 60Hz, tốc độ phản hồi hình ảnh 2ms.                                            ","
                                                    Intel® Iris® Xe Graphics                                            ",https://trungtran.vn//upload_images/images/products/dell-xps/resized/dell-xps-9320-5-copy.webp,"
                                                            2022                                                    ",Dell XPS 9320 i7 1260P 16GB SSD 512GB FHD+ IPS,"
                                                            Windows 11                                                    ",29.800.000đ,"
                                                    16GB LPDDR5 5200MHz, dual channel, không hỗ trợ nâng cấp                                            ","
                                                            29.5cm x 19.9cm x 1.5cm                                                    ","
                                                            Outlet Fullbox                                                    ","
                                                    512GB PCIe® NVMe™ M.2 SSD                                             ",https://trungtran.vn/dell-xps-13-plus-9320-i5-oled/,"
                                                            1.26kg                                                    ","
                                                            Wi-Fi® 6, Bluetooth 5.2                                                    "
